,id,utteranceID,Source,Target
143,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,6,"या तो सी फूड , मैक्सिकन या चाइनीज।","Either seafood, Mexican or Chinese."
146,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,9,एक चाइनीज रेस्तरां के बारे में क्या खयाल है?,How about a Chinese restaurant?
147,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,10,"मुझे खेद है, मैंने गड़बड़ कर दिया।","I Am sorry, I messed it up."
150,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,13,क्या वे देर तक खुले रहते हैं?,Are they open late?
152,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,15,प्राइस रेंज क्या है?,What is the price range?
154,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,17,क्या वे रीजर्वेशन लेते हैं?,Do they take reservations?
156,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,19,"हाँ, खाली जगह।","Yes, the empty space."
158,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,21,दो लोग।,two people.
159,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,22,कल रात 7:00 बजे,tomorrow night at 7:00 p.m.
161,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,24,क्या उनके पास कमरे उपलब्ध हैं?,Do they have rooms available?
163,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,26,मुझे मिशन चाइनीज के बारे में बताएं। क्या वे वहां कॉकटेल सर्व करते हैं?,Well tell me about the Mission Chinese. Do they serve cocktails there?
166,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,29,हां। क्या उनके पास बूथ हैं?,Yes. Do they have booths?
169,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,32,धन्यवाद।,Thank you.
172,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,1,ठीक है। मुझे इंटेलिजेंट ऑटो इम्पोर्ट्स पर अपनी कार के लिए अपॉइंटमेंट लेना है।,Okay. I need to make an appointment for my car at Intelligent Auto Imports.
174,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,3,"हाँ, जेम्स पैटन 916-555-4675।","Yes, James Patton 916-555-4675."
176,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,5,916-555-4675,916-555-4675
178,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,7,ए एम ओ एस,A m o s.
180,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,9,"यह सही है, और यदि संभव हो तो मैं अगले शुक्रवार को चाहूंगा।","That's correct, and I'd like next Friday if possible."
182,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,11,"हाँ, लाइट का एक बंच काम नहीं कर रहा है।","Yeah, a bunch of the lights aren't working."
184,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,13,एक्सटेरियर,Exterior.
186,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,15,बस रिप्लेस करना है।,Just replacement.
188,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,17,यह 2009 की बीएमडब्ल्यू 325 है।,It's a 2009 BMW 325.
190,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,19,यह सही है।,That's correct.
193,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,22,यह बढ़िया समझ में आ रहा है।,That sounds fine.
195,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,24,"हाँ, यह ठीक लग रहा है।","Yeah, that sounds good."
197,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,26,"हाँ, यह सब सही है।","Yep, that's all correct."
199,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,28,"हाँ, मैं इस स्थान से परिचित हूँ।","Yeah, I'm familiar with its location."
201,dlg-1d6ab8c0-d5bb-4277-ba8d-289520942330,30,"नहीं, यह वो करेगा। धन्यवाद।","No, that will do it. Thanks."
203,dlg-272c04e5-a836-44e5-97ae-29334835f111,0,"मैं बेला लूना से दो मीडियम पिज्जा ऑर्डर करना चाहता हूं, प्लीज।","I'd like to order two medium pizzas from Bella Luna, please."
205,dlg-272c04e5-a836-44e5-97ae-29334835f111,2,थिक क्रस्ट,thick crust.
206,dlg-272c04e5-a836-44e5-97ae-29334835f111,3,"मुझे एक मीट लवर के साथ बेकन और जलापेनोस और जैतून चाहिए, प्लीज।","I would like a meat lover's with with bacon and jalapeños and olives, please."
208,dlg-272c04e5-a836-44e5-97ae-29334835f111,5,दूसरे के लिए।,For the other one.
210,dlg-272c04e5-a836-44e5-97ae-29334835f111,7,क्या कोई पिज्जा है जिसमें आर्टिचोक है?,Is there a pizza that has artichokes?
211,dlg-272c04e5-a836-44e5-97ae-29334835f111,8,"ठीक है, मैं अपना खुद का कस्टम पिज़्ज़ा बनाऊँगा, प्लीज।","Okay, I'll build my own custom pizza, please."
213,dlg-272c04e5-a836-44e5-97ae-29334835f111,10,"आर्टिचोक, बेकन।","artichokes, bacon."
215,dlg-272c04e5-a836-44e5-97ae-29334835f111,12,अनानास।,pineapple.
216,dlg-272c04e5-a836-44e5-97ae-29334835f111,13,एक्स्ट्रा सॉस।,extra sauce.
217,dlg-272c04e5-a836-44e5-97ae-29334835f111,14,"एक्स्ट्रा मशरूम के साथ, प्लीज।","With extra mushrooms, please."
218,dlg-272c04e5-a836-44e5-97ae-29334835f111,15,"और चीज़, और वह सब होगा।","And cheese, and that will be all."
219,dlg-272c04e5-a836-44e5-97ae-29334835f111,16,"शानदार लग रहा है, धन्यवाद।","Sounds fantastic, thank you."
221,dlg-272c04e5-a836-44e5-97ae-29334835f111,18,"मैं इसे उठा लूंगा, प्लीज।","I'll pick that up, please."
222,dlg-272c04e5-a836-44e5-97ae-29334835f111,19,"हां। वे दो मीडियम थिक क्रस्ट हैं, है ना?","Yes. Those are two medium thick crust, correct?"
224,dlg-272c04e5-a836-44e5-97ae-29334835f111,21,"ठीक है, शानदार। बहुत - बहुत धन्यवाद।","All right, fantastic. Thank you so much."
226,dlg-272c04e5-a836-44e5-97ae-29334835f111,23,"शानदार। आपकी रात अच्छे से कटे, आप सबसे अच्छे हैं।","Fantastic. Have a nice night, you're the best."
228,dlg-272c04e5-a836-44e5-97ae-29334835f111,25,धन्यवाद। मे लूँगा।,Thanks. I will.
231,dlg-286cebc7-0088-45bb-8cbd-1561468bcd9c,1,"हाँ, मुझे एक उबेर ऑर्डर करना है, प्लीज।","Yeah, I need to order an Uber, please."
233,dlg-286cebc7-0088-45bb-8cbd-1561468bcd9c,3,यह न्यूयॉर्क शहर में 15 मेन स्ट्रीट होने जा रहा है,It's going to be 15 Main Street in New York City
235,dlg-286cebc7-0088-45bb-8cbd-1561468bcd9c,5,एएमसी थियेटर।,the AMC Theater.
237,dlg-286cebc7-0088-45bb-8cbd-1561468bcd9c,7,"हमें एक उबरएक्स की आवश्यकता होगी क्योंकि हमारे पास छह लोग हैं। या, शायद एक उबरएक्सएल मेरा मतलब है, क्षमा करें।","We're going to need an UberX because cus we have six people. Or, maybe an UberXL I mean, sorry."
239,dlg-286cebc7-0088-45bb-8cbd-1561468bcd9c,9,जितनी जल्दी हो सके।,As soon as possible.
241,dlg-286cebc7-0088-45bb-8cbd-1561468bcd9c,11,बहुत - बहुत धन्यवाद।,Thank you so much.
244,dlg-30166527-ea04-4697-9c20-e00c18d3106e,1,हाय। मुझे इंटेलिजेंट ऑटो इम्पोर्ट पर अपनी कार रीपेयर करानी है।,Hi. I need to get my car repaired at Intelligent auto imports.
246,dlg-30166527-ea04-4697-9c20-e00c18d3106e,3,मेरा नाम जॉन स्मिथ है।,My name is John Smith.
248,dlg-30166527-ea04-4697-9c20-e00c18d3106e,5,555-555-5555.,555-555-5555.
250,dlg-30166527-ea04-4697-9c20-e00c18d3106e,7,हां।,Yes.
252,dlg-30166527-ea04-4697-9c20-e00c18d3106e,9,यह 2010 का सुबारू आउटबैक है।,It is a 2010 Subaru Outback.
254,dlg-30166527-ea04-4697-9c20-e00c18d3106e,11,किसी कारण से कार में कई लाइटे जल जाती हैं।,For some reason several lights are out in the car.
256,dlg-30166527-ea04-4697-9c20-e00c18d3106e,13,एक्स्टेरियर लाइट,exterior lights.
258,dlg-30166527-ea04-4697-9c20-e00c18d3106e,15,आज दोपहर 3:00 बजे,today at 3:00 p.m.
261,dlg-30166527-ea04-4697-9c20-e00c18d3106e,18,ठीक है।,Okay.
263,dlg-30166527-ea04-4697-9c20-e00c18d3106e,20,ठीक है।,Okay.
266,dlg-30166527-ea04-4697-9c20-e00c18d3106e,23,नहीं।,No.
269,dlg-311d4f4c-55ed-4771-9716-89539a373770,1,बेला लूना से पिज्जा ऑर्डर करें।,Order pizza from Bella Luna.
271,dlg-311d4f4c-55ed-4771-9716-89539a373770,3,तीन,Three.
273,dlg-311d4f4c-55ed-4771-9716-89539a373770,5,स्माल।,Small.
275,dlg-311d4f4c-55ed-4771-9716-89539a373770,7,सभी के लिए मीट लवर।,Meat Lovers for all.
277,dlg-311d4f4c-55ed-4771-9716-89539a373770,9,ग्लूटेन-फ्री क्रस्ट,Gluten-free crust.
279,dlg-311d4f4c-55ed-4771-9716-89539a373770,11,नहीं।,No.
281,dlg-311d4f4c-55ed-4771-9716-89539a373770,13,हां।,Yes.
283,dlg-311d4f4c-55ed-4771-9716-89539a373770,15,ठीक है।,Okay.
285,dlg-311d4f4c-55ed-4771-9716-89539a373770,17,ठीक है।,Okay.
288,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,1,"हाय, आप कैसे हैं?","Hi, how are you?"
290,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,3,"मैं बहुत बढ़िया हूँ। मुझे ग्रीनवुड मॉल से पिकअप करना है, प्लीज।","I'm wonderful. I need to get picked up from Greenwood Mall, please."
291,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,4,"इंडियानापोलिस, इंडियाना या ग्रीनवुड, इंडियाना में।","in Indianapolis, Indiana or Greenwood, Indiana."
294,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,7,मैं इंडियानापोलिस में फैशन मॉल जाना चाहूंगा।,I would like to go to the Fashion Mall in Indianapolis.
296,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,9,"हाँ, जितनी जल्दी हो सके।","Yes, as soon as possible."
298,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,11,"यह छह लोगों के लिए है, प्लीज। सवारी टाइप के लिए मेरी प्राथमिकता एक्सल उबर है।","That's for six people, please. My preference for ride type is the XL Uber."
301,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,14,"अच्छा, यह शानदार लगता है।","Well, that sounds fantastic."
303,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,16,हां।,Yes.
306,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,19,यह बढ़िया है।,That's fantastic.
308,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,21,शानदार। यात्रा की अनुमानित अवधि क्या है?,Fantastic. What's the estimated duration of the trip?
310,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,23,"ठीक है, यह शानदार है। धन्यवाद।","Okay, that's fantastic. Thank you."
312,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,25,"ऩहीं, बस इतना ही। वैलेंटाइन्स डे कि शुभ कामना।","No, that's all. Happy Valentines Day."
315,dlg-3ecb783d-c211-46a3-a3b1-04cf07d20093,28,"धन्यवाद, आपका दिन मंगलमय हो।","Thank you, have a wonderful day."
321,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,2,मुझे पिज्जा ऑर्डर करना है।,I want to order a pizza.
322,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,3,मुझे पिज्जा ऑर्डर करना है।,I want to order a pizza.
325,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,6,तीन पिज्जा,three pizza.
326,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,7,तीन पिज्जा,three pizza.
329,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,10,मीडियम साइज,medium size.
330,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,11,मीडियम साइज,medium size.
331,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,12,याह।,Yeah.
332,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,13,याह।,Yeah.
335,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,16,चिकन बारबेक्यू।,a chicken barbecue.
336,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,17,चिकन बारबेक्यू।,a chicken barbecue.
341,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,22,मुझे 10 क्रेस्ट चाहिए।,I need 10 Crest.
342,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,23,मुझे थिन क्रस्ट चाहिए।,I need thin Crust.
345,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,26,ठीक है।,Okay.
346,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,27,ठीक है।,Okay.
349,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,30,ठीक है। आपका बहुत बहुत धन्यवाद। आपका दिन शुभ हो।,Okay. Thank you very much. Have a nice day.
350,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,31,ठीक है। आपका बहुत बहुत धन्यवाद। आपका दिन शुभ हो।,Okay. Thank you very much. Have a nice day.
353,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,34,अलविदा।,Bye.
354,dlg-47f64bcb-cd1c-47e8-9116-7f998ff5ff47,35,अलविदा।,Bye.
356,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,1,हैलो। मैं एक सवारी के लिए एक टैक्सी बुक करना चाहता हूँ।,Hello. I want to book a taxi for a ride.
358,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,3,याह।,Yeah.
360,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,5,मैं एक सर्टेन मॉल में जाना चाहता हूँ।,I want to got to the a certain mall.
362,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,7,"हाँ, सही है।","Yeah, that's right."
364,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,9,याह।,Yeah.
365,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,10,ठीक है गूगल।,Ok Google.
368,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,13,याह।,Yeah.
370,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,15,मैं डेलोस से हूं डेलोस से डेलोस स्पोर्ट्स वैन्यू।,I'm from Delos Delos sport venue from Delos.
373,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,18,हां। हां। ये सही है।,Yeah. Yeah. That's right.
375,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,20,क्या आप इसे दोहरा सकते हैं?,Can you repeat it?
377,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,22,हाँ यह सही है।,"Yeah, that's right."
379,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,24,हां यकीनन।,"Yeah, sure."
382,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,27,याह,Yeah.
385,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,30,ठीक है। कूल।,"Okay, cool."
388,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,33,कौन सा रोल बेहतर है?,What roll is better?
390,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,35,"हाँ, यह मेरे लिए ठीक है।","Yeah, that does okay for me."
391,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,36,मैं एक सवारी बुक करना चाहता हूँ।,I want to book a ride.
396,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,41,क्या आप मेरे लिए राइड बुक कर सकते हैं? हां धन्यवाद।,"Can you book a ride for me? Yeah, thank you."
399,dlg-481393f6-4bac-4e3a-9226-004f221ecda7,44,आपका दिन शुभ हो।,Have a nice day.
402,dlg-4b2edcfb-7fa5-4a93-a82e-8a6637fb5d7a,1,"हाय, क्या आप स्टारबक्स से ऑर्डर करने में मेरी मदद कर सकते हैं?","Hi, could you help me with ordering from Starbucks?"
404,dlg-4b2edcfb-7fa5-4a93-a82e-8a6637fb5d7a,3,मुझे एक कारमेल मैकचीआटो चाहिए.,I would like a Carame Macchiato.
406,dlg-4b2edcfb-7fa5-4a93-a82e-8a6637fb5d7a,5,हां।,Yes.
408,dlg-4b2edcfb-7fa5-4a93-a82e-8a6637fb5d7a,7,2 परसेन्ट,2%.
410,dlg-4b2edcfb-7fa5-4a93-a82e-8a6637fb5d7a,9,"एक ग्रांड, प्लीज","A grande, please."
412,dlg-4b2edcfb-7fa5-4a93-a82e-8a6637fb5d7a,11,"जेनकिंटाउन, पेनसिल्वेनिया में ओल्ड यॉर्क रोड पर है एक।","The one on Old York Road in Jenkintown, Pennsylvania."
414,dlg-4b2edcfb-7fa5-4a93-a82e-8a6637fb5d7a,13,धन्यवाद।,Thank you.
416,dlg-4b2edcfb-7fa5-4a93-a82e-8a6637fb5d7a,15,सही।,Correct.
